----------------------微信支付账单明细列表--------------------
交易时间,交易类型,交易对方,商品,收/支,金额(元),支付方式,当前状态,交易单号,商户单号,备注
"2025-05-15 14:23:45","转账","北京邮电大学","学生处劳务费","收入","¥500","银行卡","交易成功","","",""
"2025-05-10 09:15:30","商户消费","淘宝","佳能RF24-105mm F4L IS USM全画幅标准变焦镜头","支出","¥6999","花呗","交易成功","4280121496271170437","",""
"2025-05-08 16:42:18","商户消费","京东","优篮子 ulanzi VL49 Pro RGB补光灯","支出","¥299","零钱通","交易成功","291246503147","",""
"2025-05-05 11:30:22","转账","内容负责人Leah","校园优质内容激励","收入","¥600","零钱通","交易成功","","",""
"2025-05-01 20:15:33","商户消费","淘宝","神牛V1闪光灯","支出","¥2499","余额宝","交易成功","4281612062816170437","",""
"2025-04-28 15:45:12","商户消费","淘宝","Kase卡色ND1000减光镜","支出","¥199","余额宝","交易成功","4288000978155170437","",""
"2025-04-25 10:20:45","商户消费","京东","优篮子 ulanzi VT03三脚架","支出","¥399","零钱通","交易成功","291038843721","",""
"2025-04-23 19:30:15","转账","北京邮电大学","国旗护卫队劳务费","收入","¥300","银行卡","交易成功","","",""
"2025-04-22 08:45:30","商户消费","淘宝","佳能RF70-200mm F2.8L IS USM长焦变焦镜头","支出","¥15999","花呗","交易成功","4284721005081170437","",""
"2025-04-21 12:43:03","转账","北京邮电大学","学生处劳务费","收入","¥400","银行卡","交易成功","","",""
"2025-04-02 20:12:16","转账","内容负责人Leah","校园优质内容激励","收入","¥400","零钱通","交易成功","","",""
"2025-03-23 07:17:56","商户消费","淘宝","Ulanzi优篮子APS-C传感器清洁液清洁棒","支出","¥15.9","余额宝","交易成功","4274697096536170437","",""
"2025-03-19 12:11:15","商户消费","淘宝","适用影石Insta360Ace pro2/1配件运动相机胸带","支出","¥21.91","余额宝","交易成功","4270121496271170437","",""
"2025-03-14 09:43:42","转账","北京邮电大学","国旗护卫队劳务费","收入","¥200","银行卡","交易成功","","",""
"2025-03-07 19:02:10","转账","刘姝宁","大学生记者团劳务费","收入","¥200","零钱通","交易成功","","",""
"2024-12-22 21:12:57","商户消费","淘宝","佳能RF16F2.8 STM全画幅数码微单超广角定焦镜头","支出","¥1644","花呗","交易成功","4176217476860170437","",""
"2024-12-15 02:42:29","商户消费","淘宝","5号可充电电池套装AA快充","支出","¥48","余额宝","交易成功","4166740587775170437","",""
"2024-12-11 15:19:40","商户消费","淘宝","神牛闪光灯TT520II","支出","¥215.98","余额宝","交易成功","4161612062816170437","",""
"2024-11-08 14:38:57","转账","北京邮电大学","文体宣劳务费","收入","¥1280","银行卡","交易成功","","",""
"2024-11-07 21:28:12","商户消费","淘宝","Kase卡色滤镜螺纹转接环","支出","¥26.53","余额宝","交易成功","4118000978158170437","",""
"2024-11-07 21:28:11","商户消费","淘宝","Kase卡色黑柔滤镜","支出","¥111.92","余额宝","交易成功","4118000978155170437","",""
"2024-06-16 08:51:43","商户消费","淘宝","七工匠圆形滤镜包","支出","¥58.6","余额宝","交易成功","3933089677324170437","",""
"2024-03-19 01:08:20","商户消费","京东","贝阳60CM二合一反光板","支出","¥18.80","零钱通","交易成功","291246503146","",""
"2024-03-13 15:07:01","商户消费","淘宝","佳能RF50 1.8全画幅标准定焦镜头","支出","¥1896","余额宝","交易成功","3811608362408170437","",""
"2024-03-13 01:14:15","商户消费","京东","优篮子 ulanzi VT02铝合金三脚架液压云台","支出","¥159","零钱通","交易成功","290970566478","",""
"2024-03-13 01:14:06","商户消费","京东","优篮子 ulanzi优篮子VL49RGB磁吸补光灯","支出","¥168","零钱通","交易成功","291038843720","",""
"2024-02-20 12:36:38","商户消费","淘宝","佳能EOS R10入门级微单半画幅相机","支出","¥8900","银行卡","交易成功","3784721005081170437","",""
