微信支付账单明细 微信昵称：[Q·ð 起始时间：[2025-04-10 09:40:16] 终止时间：[2025-04-18 19:55:33]
----------------------提醒事项明细列表----------------------
类型,提醒名字,提醒类别,金额范围,备注
"提醒事项","Test","For expense monitoring","¥20-40","This is for test"
"提醒事项","pension planning 500-700","For expense monitoring","¥500-700","better spend less than 500-700"
"提醒事项","loan repayment 30-50","For savings","¥30-50","save money for loan"

----------------------微信支付账单明细列表--------------------
交易时间,交易类型,交易对方,商品,收/支,金额(元),支付方式,当前状态,交易单号,商户单号,备注
"2025-04-18 18:35:22","商户消费","Apple","apple.com/bill/MXKYB51LHJa0","支出","¥45.00","零钱","支付成功","","",""
"2025-04-18 12:57:19","商户消费","美团平台商户","大众点评订单-25041811100400001302326121296633","支出","¥3.00","零钱","支付成功","","",""
"2025-04-18 12:53:58","商户消费","滴滴出行","先乘后付","支出","¥29.90","零钱","支付成功","","",""
"2025-04-18 12:37:21","商户消费","美团平台商户","晋阳阿婆腊汁肉夹馍·米粉（美妙美食城第3档口店）-大众点评App-25041811100400001302320906026633","支出","¥33.90","零钱","支付成功","","",""
"2025-04-18 09:41:28","商户消费","岳西科技","先购后付","支出","¥5.00","零钱","支付成功","","",""
"2025-04-18 07:56:06","商户消费","北京一卡通","30022504181327809337","支出","¥1.00","零钱","支付成功","","",""
"2025-04-17 20:44:32","商户消费","美团平台商户","捞力王·捞汁小海鲜·辣卤海鲜（中关村店·小龙虾·生腌·三文鱼）-大众点评App-25041711100400001302237","支出","¥160.90","零钱","支付成功","","",""
"2025-04-17 20:12:14","商户消费","北京一卡通","30012504175891113491","支出","¥1.00","零钱","支付成功","","",""
"2025-04-17 16:47:10","商户消费","李禹良","/","支出","¥48.17","零钱","支付成功","","",""
"2025-04-17 15:42:00","商户消费","发给林嘉怡","/","支出","¥10.00","零钱","支付成功","","",""
"2025-04-17 13:01:18","商户消费","北京一卡通","30012504177990232166","支出","¥1.00","零钱","支付成功","","",""
"2025-04-16 20:14:34","商户消费","滴滴出行","先乘后付","支出","¥31.90","零钱","支付成功","","",""
"2025-04-16 19:33:01","商户消费","北京邮电大学","餐费支出","支出","¥30.00","零钱","支付成功","","",""
"2025-04-16 18:15:50","商户消费","岳西科技","先购后付","支出","¥4.90","零钱","支付成功","","",""
"2025-04-16 14:27:53","商户消费","岳西科技","先购后付","支出","¥5.00","零钱","支付成功","","",""
"2025-04-16 13:51:52","商户消费","携程旅行网","土耳其个人旅游签证EVISA电子签常规签证","支出","¥548.00","零钱","支付成功","","",""
"2025-04-16 12:08:43","商户消费","携程保险代理有限公司","北京突尼斯7天定制游","支出","¥145.00","零钱","支付成功","","",""
"2025-04-16 10:26:05","商户消费","滴滴出行","先乘后付","支出","¥41.00","零钱","支付成功","","",""
"2025-04-15 20:10:41","商户消费","叮咚买菜","叮咚买菜-2504151014661358610","支出","¥155.05","零钱","支付成功","","",""
"2025-04-15 19:08:06","商户消费","北京一卡通","30022504158515830959","支出","¥1.00","零钱","支付成功","","",""
"2025-04-15 15:09:11","商户消费","岳西科技","先购后付","支出","¥5.00","零钱","支付成功","","",""
"2025-04-15 14:46:25","商户消费","北京邮电大学","餐费支出","支出","¥15.00","零钱","支付成功","","",""
"2025-04-15 09:35:19","商户消费","北京邮电大学","餐费支出","支出","¥9.00","零钱","支付成功","","",""
"2025-04-15 09:29:15","商户消费","滴滴出行","先乘后付","支出","¥39.91","零钱","支付成功","","",""
"2025-04-14 22:50:11","商户消费","滴滴出行","先乘后付","支出","¥31.90","零钱","支付成功","","",""
"2025-04-14 21:20:42","商户消费","Apple","apple.com/bill/MXKY9Z6HYVa0","支出","¥30.00","零钱","支付成功","","",""
"2025-04-14 19:47:22","商户消费","北京邮电大学","餐费支出","支出","¥29.50","零钱","支付成功","","",""
"2025-04-14 16:17:51","商户消费","岳西科技","先购后付","支出","¥4.90","零钱","支付成功","","",""
"2025-04-14 15:35:12","商户消费","农夫山泉","农夫山泉水溶C100果汁西柚味445mlNFZF1800455","支出","¥5.00","零钱","支付成功","","",""
"2025-04-14 14:42:57","商户消费","滴滴出行","先乘后付","支出","¥30.00","零钱","支付成功","","",""
"2025-04-14 10:23:10","商户消费","美团平台商户","小满手工粉(北京世纪金源购物中心店)-大众点评App-25041411100400001301591183868633","支出","¥39.40","零钱","支付成功","","",""
"2025-04-14 09:05:54","商户消费","Apple","apple.com/bill/MXKY9Y9FLMa0","支出","¥50.00","零钱","支付成功","","",""
"2025-04-13 13:07:19","商户消费","有空就休息xixi｜空山｜双生🔥","/","支出","¥358.00","零钱","支付成功","","",""
"2025-04-13 08:55:07","商户消费","中国石化销售有限公司北京石油分公司","95号京VIB汽油","支出","¥298.31","零钱","支付成功","","",""
"2025-04-13 00:38:54","商户消费","滴滴出行","先乘后付","支出","¥96.00","零钱","支付成功","","",""
"2025-04-12 13:55:16","商户消费","滴滴出行","先乘后付","支出","¥77.00","零钱","支付成功","","",""
"2025-04-12 13:50:47","商户消费","喜茶","喜茶支付中心支付单","支出","¥26.00","零钱","支付成功","","",""
"2025-04-12 11:25:23","商户消费","京东到家","京东到家2508767517075594","支出","¥56.40","零钱","支付成功","","",""
"2025-04-12 11:03:15","商户消费","ProcessOn","AI1月会员","支出","¥24.90","零钱","支付成功","","",""
"2025-04-11 19:05:06","商户消费","叮咚买菜","叮咚买菜-2504111014664480993","支出","¥89.40","零钱","支付成功","","",""
"2025-04-11 19:03:45","商户消费","叮咚买菜","叮咚买菜-2504111014664481714","支出","¥86.24","零钱","支付成功","","",""
"2025-04-11 18:58:46","商户消费","美团平台商户","奉天·十三记熏拌鸡架（第6档口京兆京缘美食城店）-大众点评App-25041111100400001301118997536633","支出","¥88.88","零钱","支付成功","","",""
"2025-04-11 16:01:57","商户消费","美团平台商户","薯之缘砂锅麻酱土豆粉（白石桥店）-大众点评App-25041111100400001301082823803633","支出","¥31.89","零钱","支付成功","","",""
"2025-04-11 11:20:51","商户消费","金山WPS","WPS超级会员","支出","¥16.00","零钱","支付成功","","",""
"2025-04-11 10:29:21","商户消费","美团平台商户","晨曦炖汤（紫竹院店）-大众点评App-25041111100400001301015672703633","支出","¥52.91","零钱","支付成功","","",""
"2025-04-11 09:55:26","商户消费","京东到家","京东到家2508675718019723","支出","¥65.80","零钱","支付成功","","",""
"2025-04-11 08:54:12","商户消费","Apple","apple.com/bill/MXKY9MG64Na0","支出","¥6.00","零钱","支付成功","","",""
"2025-04-11 04:53:32","商户消费","Apple","apple.com/bill/MXKY9MG5Q4a0","支出","¥198.00","零钱","支付成功","","",""
"2025-04-10 20:51:54","商户消费","滴滴出行","先乘后付","支出","¥54.00","零钱","支付成功","","",""
"2025-04-10 20:18:18","商户消费","申德勒日坛餐厅","申德勒日坛餐厅","支出","¥958.00","零钱","支付成功","","",""
"2025-04-10 18:43:49","商户消费","滴滴出行","滴滴专车-孙师傅-04月10日行程","支出","¥81.60","零钱","支付成功","","",""
"2025-04-10 15:35:33","商户消费","岳西科技","先购后付","支出","¥5.00","零钱","支付成功","","",""
"2025-04-10 12:58:11","商户消费","Apple","apple.com/bill/MXKY9KQJSDa0","支出","¥6.00","零钱","支付成功","","",""
"2025-04-10 12:57:34","商户消费","Apple","apple.com/bill/MXKY9KQJD3a0","支出","¥198.00","零钱","支付成功","","",""
